# pmax       H2          H2O         CO2         CH4         NH3         N2          Rp          Mp          Tpoint001   Tpoint002   Tpoint003   Tpoint004   Tpoint005   Tpoint006   Ppoint002   Ppoint003   Ppoint004   Ppoint005           C/O         [Z]        Teff         MMW
 -1.2114E+00 -8.1880E+00  1.9338E-01 -8.5995E+00 -2.0168E+00 -1.2112E+00 -7.2570E+00  9.5815E-02  5.5286E-03  6.7931E-01  4.8087E-01  7.8076E-01  1.7801E+00  2.4585E+00  1.3003E+00 -8.5368E+00 -8.2176E+00 -6.6207E+00 -6.0645E-01  1.4221E-03  2.7473E+00  2.1689E+02  1.7848E+01
  5.4714E-01 -3.3532E+00  2.9473E+00 -7.2576E+00  4.6153E-01  1.5627E+00 -2.3221E+00  9.4410E-02  3.2178E-03  2.1287E+00  5.5163E-01  1.1075E+00  2.2947E+00  2.4582E+00  2.0303E+00 -6.6786E+00 -5.2105E+00 -3.6270E+00 -8.4792E-01  6.1630E-03  2.7449E+00  2.1944E+02  1.7837E+01
 -1.9731E+00 -1.7760E+00  2.9511E+00 -3.8556E+00  2.5284E-01  1.5221E+00 -8.8435E+00  9.4426E-02  4.7251E-03  2.6111E+00  1.9962E+00  1.0076E+00  2.0739E+00  2.4609E+00  1.6479E+00 -8.1642E+00 -5.6569E+00 -4.8640E+00 -4.6669E-01  3.2673E-03  2.7457E+00  2.1918E+02  1.7840E+01
  9.8470E-01 -1.8261E+00 -5.2205E-01 -7.8270E+00 -2.3911E+00 -1.6890E+00 -5.3143E+00  9.4700E-02  1.5803E-03  5.9324E-01  5.6974E-01  1.5215E+00  2.1842E+00  2.4605E+00  1.9733E+00 -8.2007E+00 -6.3766E+00 -4.9209E+00 -8.3750E-01  2.0033E-03  2.7469E+00  2.1807E+02  1.7846E+01
  4.2043E-01 -6.7792E+00  3.2346E-01 -8.9481E+00 -2.3248E+00 -9.8789E-01 -7.0541E+00  9.1552E-02  1.6385E-03  6.2177E-01  1.9570E+00  5.8458E-01  2.0922E+00  2.4684E+00  6.5416E-01 -7.9708E+00 -6.5582E+00 -5.3786E+00 -4.5720E-01  1.3520E-02  2.7181E+00  2.2261E+02  1.7106E+01
 -3.1220E+00 -7.9409E+00 -8.1758E-01 -3.7415E+00 -3.8180E+00 -1.9608E+00 -4.1512E+00  9.8451E-02  5.0427E-03  1.1823E+00  2.2699E+00  1.8201E+00  2.3133E+00  2.4670E+00  1.9094E+00 -8.1710E+00 -6.7869E+00 -3.8391E+00 -1.5328E-01  2.2479E-03  2.7446E+00  2.1472E+02  1.7835E+01
 -2.9363E+00 -5.7224E+00  1.5213E+00 -6.1922E+00 -1.2527E+00  1.6230E-01 -3.5128E+00  9.5732E-02  5.6793E-03  2.3927E+00  2.1524E+00  7.0994E-01  1.9959E+00  2.4603E+00  1.5018E+00 -7.3573E+00 -5.8872E+00 -5.1469E+00 -4.1943E-01  2.1853E-03  2.7426E+00  2.1832E+02  1.7851E+01
 -2.0037E+00 -6.0305E+00  9.8805E-01 -3.4523E+00 -2.5981E+00 -4.0649E-01 -3.0122E+00  9.4958E-02  4.0558E-03  2.2715E+00  2.4824E+00  8.7784E-01  1.7783E+00  2.4523E+00  2.1723E+00 -8.4921E+00 -7.3553E+00 -6.1539E+00 -1.0059E+00  1.6827E-03  2.7458E+00  2.1938E+02  1.7841E+01
 -3.6921E+00 -2.8879E+00  1.7630E+00 -7.9083E+00 -1.0492E+00  5.5587E-01 -3.8308E+00  9.2817E-02  1.3381E-03  1.8126E+00  1.5127E+00  1.0036E+00  2.0134E+00  2.4672E+00  1.2862E+00 -8.4942E+00 -7.3296E+00 -6.0772E+00 -4.8867E-01  2.9561E-04  2.7472E+00  2.2185E+02  1.7849E+01
  4.3581E-01  2.0093E+00  2.2493E+00 -4.0497E+00 -1.4092E-01  1.1358E+00 -2.8441E+00  9.7309E-02  5.5208E-03  1.9754E+00  1.8299E+00  1.9316E+00  2.2841E+00  2.4777E+00  1.4585E+00 -8.9632E+00 -8.6814E+00 -4.3681E+00  6.8783E-03  1.5412E-03  2.7424E+00  2.1680E+02  1.7825E+01
